Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes
ERR1883381,BER09_I,Targeted-Capture,PRJEB20000,SAMEA103910518,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943882,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L8_I2d_GCCAAT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910518,ERS1599686,ERS1599686,ERP022101,BEREL,81,1991808954,882771193,1991,841
ERR1883382,BER10_K,Targeted-Capture,PRJEB20000,SAMEA103910519,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943883,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L8_K2d_CAGATC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910519,ERS1599687,ERS1599687,ERP022101,BEREL,81,296770311,133899875,296,127
ERR1883383,BER12_M,Targeted-Capture,PRJEB20000,SAMEA103910521,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943884,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L8_M2d_GATCAG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910521,ERS1599689,ERS1599689,ERP022101,BEREL,81,1670240817,771116027,1670,735
ERR1892160,BER04_D,Targeted-Capture,PRJEB20000,SAMEA103910513,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952658,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910513,ERS1599681,ERS1599681,ERP022101,BEREL,,,,,
ERR1892161,BER05_E,Targeted-Capture,PRJEB20000,SAMEA103910514,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952659,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910514,ERS1599682,ERS1599682,ERP022101,BEREL,,,,,
ERR1892162,BER07_G,Targeted-Capture,PRJEB20000,SAMEA103910516,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952660,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910516,ERS1599684,ERS1599684,ERP022101,BEREL,,,,,
ERR1892163,BER08_H,Targeted-Capture,PRJEB20000,SAMEA103910517,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952661,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910517,ERS1599685,ERS1599685,ERP022101,BEREL,,,,,
ERR1892164,I-K3_Arz2,Targeted-Capture,PRJEB20000,SAMEA103910523,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952662,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910523,ERS1599691,ERS1599691,ERP022101,BEREL,,,,,
ERR1892165,BER11_L,Targeted-Capture,PRJEB20000,SAMEA103910520,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952663,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910520,ERS1599688,ERS1599688,ERP022101,BEREL,,,,,
ERR1892166,BER06_F,Targeted-Capture,PRJEB20000,SAMEA103910515,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952664,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910515,ERS1599683,ERS1599683,ERP022101,BEREL,,,,,
ERR1892167,I-K2_Arz1,Targeted-Capture,PRJEB20000,SAMEA103910522,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952665,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910522,ERS1599690,ERS1599690,ERP022101,BEREL,,,,,
ERR1892168,BER09_I,Targeted-Capture,PRJEB20000,SAMEA103910518,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952666,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910518,ERS1599686,ERS1599686,ERP022101,BEREL,,,,,
ERR1892169,BER10_K,Targeted-Capture,PRJEB20000,SAMEA103910519,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952667,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910519,ERS1599687,ERS1599687,ERP022101,BEREL,,,,,
ERR1892170,BER12_M,Targeted-Capture,PRJEB20000,SAMEA103910521,CENTRE FOR GEOGENETICS,public,bam,ena,ena,ERC000011,2017-04-28,2018-11-16,ERX1952668,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,unspecified,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910521,ERS1599689,ERS1599689,ERP022101,BEREL,,,,,
ERR1883377,BER09_I,Targeted-Capture,PRJEB20000,SAMEA103910518,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943878,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L7_I2c_CGATGT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910518,ERS1599686,ERS1599686,ERP022101,BEREL,81,2048209902,910710031,2048,868
